x_2a_over_lambda,lambda_nm,total,incoherent,cross_term,S1_real,S1_imag,S2_real,S2_imag
0.6975,716.8458781362007,16.26309060243984,32.77905743721175,-16.51596683477191,1.130641818451619,-2.31876736093315,-2.5227373445180037,1.801070208862947
0.7,714.2857142857143,15.976700481988262,32.76848994201309,-16.79178946002483,1.103102315665287,-2.32270895041923,-2.5000663867048556,1.764810742508406
0.7025,711.7437722419928,15.693985813547272,32.75716092607168,-17.063175112524405,1.075171879091168,-2.326395166737649,-2.476894385894873,1.7294134766622489
0.7050000000000001,709.2198581560283,15.415020846000186,32.7453238112811,-17.33030296528091,1.0468411481443076,-2.3298240066489324,-2.453269826656377,1.694854481131581
0.7075,706.7137809187279,15.139869783428498,32.73321736145763,-17.593347578029135,1.0181004890877499,-2.332993891958332,-2.4292383170522536,1.6611086287771875
0.71,704.2253521126761,14.866597906883632,32.71893931805912,-17.852341411175487,0.9889755328446979,-2.335758666981198,-2.4047408765273413,1.6278753234504508
0.7125,701.7543859649122,14.592955633164898,32.70011713635948,-18.107161503194583,0.9594974520395502,-2.3379418112344297,-2.3796904490234234,1.594810874932536
0.7150000000000001,699.3006993006992,14.323231508772686,32.68141560058323,-18.358184091810543,0.9295798434516804,-2.3398480151132346,-2.3543372349473333,1.5624724873520925
0.7175,696.8641114982578,14.057184219733887,32.66270053050724,-18.60551631077335,0.8992162619175776,-2.3414563502892585,-2.3287012665332214,1.530792900745735
0.72,694.4444444444445,13.795351643843597,32.64469062359211,-18.849338979748516,0.8683859185444348,-2.34280557797408,-2.3028423660426705,1.4998121886722577
0.7225,692.0415224913495,13.537775472863405,32.627555302462014,-19.08977982959861,0.8370765907679588,-2.343898600627745,-2.27679202638538,1.4695018450532646
0.7250000000000001,689.655172413793,13.284499143646947,32.61145350560196,-19.32695436195501,0.8052757636946648,-2.3447392061739047,-2.250579505981448,1.439833334223164
0.7275,687.2852233676975,13.03556924598275,32.59653432092153,-19.56096507493878,0.7729706616755324,-2.3453321267530076,-2.2242319465557867,1.4107781772172787
0.73,684.931506849315,12.791036861014284,32.5829375854413,-19.791900724427016,0.7401482857163179,-2.3456830987567217,-2.1977744873304825,1.382308026169196
0.7324999999999999,682.5938566552902,12.550958830195562,32.57079444901679,-20.019835618821226,0.7067954572273972,-2.3457989237567536,-2.171230375201764,1.354394727891814
0.735,680.2721088435375,12.315398953952464,32.5602279004894,-20.244828946536938,0.6728988686184298,-2.345687529863941,-2.144621070589576,1.327010377649145
0.7375,677.9661016949152,12.08442670981534,32.55135012536547,-20.466923415550127,0.6384451613493581,-2.3453578383693436,-2.1179661775540803,1.3001270578298758
0.74,675.6756756756757,11.85812528386409,32.544271923159485,-20.686146639295394,0.6034209312551649,-2.344820383689194,-2.091284031522307,1.2737177596794003
0.7424999999999999,673.4006734006734,11.636587988381258,32.53909746193267,-20.90250947355141,0.5678128462686525,-2.344087016548549,-2.0645914806072545,1.2477558403173346
