x_alaee,x_mie,C_pathA,C_table1,C_mie_l12,A_ED,T_ED,M_ED,A_MD,T_MD,M_MD,A_EQ,T_EQ,M_EQ,A_MQ,T_MQ,M_MQ
0.13838926174496644,0.43476268803370155,0.004089140369415601,0.004089123873214866,0.0040898224047096685,0.004076659293457587,0.004076659293457588,0.004077672453145976,1.1857591538843892e-05,1.1857591538843889e-05,1.15430096877371e-05,6.229706048468449e-07,6.064744041124054e-07,6.064382502643455e-07,5.138143218210997e-10,5.138143218210991e-10,5.036256915619771e-10
0.1402684563758389,0.44066635208071586,0.004447290286013886,0.004447270894182218,0.004448060145742876,0.004432928292563829,0.004432928292563831,0.004434089349153434,1.364814701519873e-05,1.364814701519872e-05,1.3276390501433826e-05,7.132245259261135e-07,6.938326942571555e-07,6.937968806353149e-07,6.219089315849355e-10,6.219089315849356e-10,6.092073730997816e-10
0.1421476510067114,0.4465700161277303,0.004831764550268524,0.0048317418035347115,0.004832631469611284,0.004815265935284375,0.004815265935284377,0.004816594078498202,1.568276628556052e-05,1.5682766285560528e-05,1.5244339251493422e-05,8.150978185901282e-07,7.923510847749656e-07,7.9231676757738e-07,7.508799994386255e-10,7.508799994386255e-10,7.350940109773262e-10
0.14402684563758386,0.4524736801747446,0.005244148277219101,0.005244121651018356,0.005245122176989538,0.00522522607811135,0.005225226078111355,0.005226742685269871,1.799138989749116e-05,1.799138989749115e-05,1.747535960256781e-05,9.299047983566102e-07,9.032785976068621e-07,9.032472666352994e-07,9.044119022258715e-10,9.044119022258719e-10,8.848504647665279e-10
0.14590604026845636,0.458377344221759,0.005686102446536131,0.005686071342769987,0.0056871939428322985,0.005664435006690041,0.005664435006690042,0.005666163858300978,2.0607264460922428e-05,2.0607264460922434e-05,2.0001063537691974e-05,1.0590886049772597e-06,1.0279848388312123e-06,1.0279583837685258e-06,1.0867801906268255e-09,1.0867801906268202e-09,1.0626098598740685e-09
0.14778523489932882,0.46428100826877333,0.006159366664447904,0.006159330402331909,0.0061605870705320875,0.006134593856145855,0.006134593856145854,0.0061365613694039905,2.35672734052554e-05,2.3567273405255392e-05,2.285647734208143e-05,1.2042319594380412e-06,1.1679698434453687e-06,1.1679506306710472e-06,1.3029373551161032e-09,1.3029373551160974e-09,1.2731553445133655e-09
0.14966442953020132,0.47018467231578776,0.006665761993561945,0.0066657197994738435,0.006667123312238169,0.006637481068012185,0.00663748106801219,0.00663971654940459,2.691229826929109e-05,2.6912298269291094e-05,2.6080375277258824e-05,1.3670686706901147e-06,1.3248745825839031e-06,1.3248655439256351e-06,1.558609777916344e-09,1.5586097779163522e-09,1.5220123948035188e-09
0.1515436241610738,0.4760883363628022,0.007207193850838501,0.007207144847072474,0.007208708755339793,0.0071749548812797305,0.007174954881279731,0.007177490799548018,3.0687613216826214e-05,3.068761321682621e-05,2.9715643335177295e-05,1.54949593476869e-06,1.5004921687409866e-06,1.5004969037163387e-06,1.8604071754636038e-09,1.8604071754636011e-09,1.8155528806476237e-09
0.15342281879194627,0.4819920004098165,0.007785654973893021,0.007785598166218153,0.0077873367750059715,0.007748955854767232,0.007748955854767235,0.007751828135535148,3.4943315708905606e-05,3.494331570890562e-05,3.3809675669281295e-05,1.753587470910901e-06,1.6967797960404833e-06,1.6968026893138777e-06,2.215945971415182e-09,2.2159459714151824e-09,2.1611122286401775e-09
0.15530201342281877,0.48789566445683086,0.008403228455724523,0.008403162719637336,0.008405091052560041,0.008361509417671085,0.008361509417671087,0.008364757761103124,3.9734796523940314e-05,3.9734796523940314e-05,3.841480652567747e-05,1.98160754131152e-06,1.915871454121099e-06,1.9159178100881856e-06,2.6339881882903268e-09,2.633988188290331e-09,2.56712115299645e-09
