x_alaee,x_mie,C_pathB,C_mie_l12,B_ED,M_ED,B_MD,M_MD,B_EQ,M_EQ,B_MQ,M_MQ
0.33025125628140706,1.0375149205724685,1.2702688680504943,1.2702698973435609,0.8526669322793414,0.8526673258084272,0.41377061766327106,0.4137714053630323,0.0036864990782233056,0.003686348662494495,0.0001448190296584709,0.00014481750960677618
0.33517587939698495,1.0529860803740665,1.4600713877464457,1.4600726376194657,0.9186451012437448,0.9186454321374395,0.5369567015418093,0.5369578031424878,0.0042876107334986705,0.004287430110347872,0.00018197422739287442,0.00018197222919057608
0.34010050251256285,1.0684572401756645,1.6885937367948451,1.6885952930935095,0.986921208944622,0.9869214576744656,0.6964672215930532,0.6964687463903545,0.00497711061224229,0.004976895985772073,0.00022819564492772802,0.00022819304291734485
0.34502512562814075,1.0839283999772624,1.9636716049881398,1.963673581131017,1.0572947755782114,1.057294920472753,0.9003244729160322,0.9003265584120606,0.005766742371807673,0.005766491483588251,0.00028561412208868487,0.00028561076261519967
0.34994974874371865,1.0993995597788604,2.2914723546228553,2.2914748903856195,1.1295460649400832,1.129546082230787,1.154899763137449,1.154902571932135,0.006669674093897284,0.006669388075091656,0.00035685245142560193,0.00035684814760566873
0.3548743718592965,1.1148707195804584,2.672672840801026,2.6726760901586446,1.2034396910006988,1.2034395549088348,1.4610873496888068,1.4610910545923839,0.007700660085153763,0.007700346105365403,0.00044514002636660997,0.00044513455206063616
0.3597989949748744,1.1303418793820563,3.0969600567743423,3.096964158011826,1.2787285638378925,1.278728246703645,1.8088008161892082,1.8088055672545473,0.00887622140690435,0.00887589563040641,0.0005544553403375868,0.000554448423227589
0.3647236180904523,1.1458130391836543,3.5381542806961335,3.5381593074603215,1.3551580179876717,1.3551574904418788,2.1720917108812325,2.172097584477878,0.010214848221691903,0.010214537621362471,0.0006897036055365261,0.0006896949192021998
0.3696482412060302,1.1612841989852523,3.955046024619361,3.955051932009828,1.432469955221967,1.4324691864002896,2.509981903493728,2.5099888496844986,0.011737227062869261,0.01173696792936987,0.0008569388407964579,0.0008569279956700326
0.3745728643216081,1.1767553587868502,4.302340211711684,4.302346808640006,1.5104068315487522,1.5104057893476368,2.777403242927576,2.7774110635352622,0.013466494717392915,0.013466326706077926,0.0010636425179620856,0.0010636290510292559
0.379497487437186,1.1922265185884482,4.54818014646718,4.548187121098836,1.5887153244297476,1.5887139758033504,2.9427172289457113,2.94272561112878,0.015428518604877556,0.015428476316762783,0.001319074486843339,0.001319057849942745
0.3844221105527639,1.2076976783900462,4.686149463912143,4.686156454230028,1.6671495296174619,1.6671478409148452,2.9997130129720864,2.9997216058569762,0.01765220458134449,0.017652311170397603,0.0016347167412512104,0.001634696287808699
0.3893467336683417,1.2231688381916441,4.733173222684172,4.733179892051167,1.7454735557984977,1.745471493140909,2.965504992346569,2.9655134835178636,0.020169837446982964,0.020170103330256137,0.0020248370921226253,0.0020248120621391454
0.3942713567839196,1.238639997993242,4.7175165835751685,4.717522666251034,1.8234634071650138,1.823460936863929,2.868528505449423,2.8685366630056586,0.023017462348770237,0.023017888266391968,0.002507208611960735,0.002507178115054266
